sim_time, iris/rotor_1?world_angular_velocity/z
1075.9, 70.3838
1075.9, 70.3676
1075.91, 70.3457
1075.91, 70.2333
1075.92, 70.1618
1075.92, 70.1066
1075.92, 70.1242
1075.93, 70.1128
1075.93, 70.0724
1075.94, 70.0235
1075.94, 69.9977
1075.94, 70.0218
1075.95, 70.1371
1075.95, 70.221
1075.96, 70.273
1075.96, 70.285
1075.96, 70.1928
1075.97, 70.1087
1075.97, 70.0141
1075.98, 69.9347
1075.98, 69.9023
1075.98, 69.8737
1075.99, 69.8648
1075.99, 69.8685
1076, 69.8992
1076, 69.945
1076, 70.0526
1076.01, 70.1251
1076.01, 70.1754
1076.02, 70.2175
1076.02, 70.1289
1076.02, 70.0604
1076.03, 70.004
1076.03, 69.9399
1076.04, 69.9185
1076.04, 69.9307
1076.04, 69.979
1076.05, 69.9992
1076.05, 70.0087
1076.06, 70.0704
1076.06, 70.0991
1076.06, 70.1721
1076.07, 70.2597
1076.07, 70.3192
1076.08, 70.2489
1076.08, 70.1962
1076.08, 70.1525
1076.09, 70.0929
1076.09, 70.0319
1076.1, 70.052
1076.1, 70.1153
1076.1, 70.2077
1076.11, 70.2913
1076.11, 70.3329
1076.12, 70.4073
1076.12, 70.4192
1076.12, 70.4422
1076.13, 70.5457
1076.13, 70.4952
1076.14, 70.4439
1076.14, 70.3662
1076.14, 70.2789
1076.15, 70.2756
1076.15, 70.3001
1076.16, 70.3264
1076.16, 70.3423
1076.16, 70.3762
1076.17, 70.4834
1076.17, 70.5244
1076.18, 70.5389
1076.18, 70.58
1076.18, 70.6613
1076.19, 70.6073
1076.19, 70.5437
1076.2, 70.4861
1076.2, 70.4353
1076.2, 70.4065
1076.21, 70.4551
1076.21, 70.4389
1076.22, 70.4059
1076.22, 70.3845
1076.22, 70.4239
1076.23, 70.432
1076.23, 70.452
1076.24, 70.5093
1076.24, 70.5612
1076.24, 70.5973
1076.25, 70.5206
1076.25, 70.4609
1076.26, 70.404
1076.26, 70.3456
1076.26, 70.3463
1076.27, 70.3236
1076.27, 70.2699
1076.28, 70.2376
1076.28, 70.2584
1076.28, 70.394
1076.29, 70.4851
1076.29, 70.5103
1076.3, 70.498
1076.3, 70.4189
1076.3, 70.3805
1076.31, 70.3604
1076.31, 70.3345
1076.32, 70.3092
1076.32, 70.3538
1076.32, 70.3526
1076.33, 70.3508
1076.33, 70.3784
1076.34, 70.4143
1076.34, 70.5689
1076.34, 70.673
1076.35, 70.726
1076.35, 70.7445
1076.36, 70.7372
1076.36, 70.6377
1076.36, 70.534
1076.37, 70.4535
1076.37, 70.4171
1076.38, 70.4355
1076.38, 70.4477
1076.38, 70.4682
1076.39, 70.4871
1076.39, 70.4463
1076.4, 70.4074
1076.4, 70.3684
1076.4, 70.3382
1076.41, 70.3157
1076.41, 70.3018
1076.42, 70.516
1076.42, 70.6808
1076.42, 70.6514
1076.43, 70.6081
1076.43, 70.5816
1076.44, 70.5852
1076.44, 70.6015
1076.44, 70.6689
1076.45, 70.6659
1076.45, 70.6633
1076.46, 70.6646
1076.46, 70.6856
1076.46, 70.7624
1076.47, 70.7766
1076.47, 70.7586
1076.48, 70.7495
1076.48, 70.6463
1076.48, 70.5415
1076.49, 70.4335
1076.49, 70.3352
1076.5, 70.2859
1076.5, 70.2444
1076.5, 70.2123
1076.51, 70.1758
1076.51, 70.1476
1076.52, 70.1528
1076.52, 70.247
1076.52, 70.3112
1076.53, 70.3654
1076.53, 70.4127
1076.54, 70.3334
1076.54, 70.2424
1076.54, 70.163
1076.55, 70.0921
1076.55, 70.043
1076.56, 70.1348
1076.56, 70.2386
1076.56, 70.2913
1076.57, 70.3049
1076.57, 70.3117
1076.58, 70.4
1076.58, 70.4853
1076.58, 70.5619
1076.59, 70.4558
1076.59, 70.3255
1076.6, 70.2205
1076.6, 70.1422
1076.6, 70.0732
1076.61, 70.0167
1076.61, 70.0071
1076.62, 70.0026
1076.62, 69.9968
1076.62, 70.0573
1076.63, 70.15
1076.63, 70.2824
1076.64, 70.366
1076.64, 70.4002
1076.64, 70.3981
1076.65, 70.2906
1076.65, 70.1989
1076.66, 70.1392
1076.66, 70.0781
1076.66, 70.0244
1076.67, 70.0128
1076.67, 69.9885
1076.68, 69.9859
1076.68, 70.0228
1076.68, 70.0975
1076.69, 70.1843
1076.69, 70.2865
1076.7, 70.3263
1076.7, 70.3486
1076.7, 70.2841
1076.71, 70.2555
1076.71, 70.2278
1076.72, 70.1678
1076.72, 70.1349
1076.72, 70.117
1076.73, 70.147
1076.73, 70.2136
1076.74, 70.2546
1076.74, 70.329
1076.74, 70.3729
1076.75, 70.4241
1076.75, 70.4965
1076.76, 70.5664
1076.76, 70.5023
1076.76, 70.439
1076.77, 70.3624
1076.77, 70.2906
1076.78, 70.2481
1076.78, 70.2595
1076.78, 70.2649
1076.79, 70.2788
1076.79, 70.2991
1076.8, 70.4183
1076.8, 70.4957
1076.8, 70.5488
1076.81, 70.6036
1076.81, 70.6542
1076.82, 70.6842
1076.82, 70.5926
1076.82, 70.5087
1076.83, 70.4443
1076.83, 70.3812
1076.84, 70.3653
1076.84, 70.3443
1076.84, 70.3377
1076.85, 70.3351
1076.85, 70.3864
1076.86, 70.4059
1076.86, 70.4007
1076.86, 70.3902
1076.87, 70.4287
1076.87, 70.3705
1076.88, 70.3096
1076.88, 70.255
1076.88, 70.222
1076.89, 70.1988
1076.89, 70.2178
1076.9, 70.2278
1076.9, 70.2934
1076.9, 70.3515
1076.91, 70.3718
1076.91, 70.4759
1076.92, 70.579
1076.92, 70.6357
1076.92, 70.6401
1076.93, 70.5419
1076.93, 70.4719
1076.94, 70.4227
1076.94, 70.3881
1076.94, 70.3392
1076.95, 70.3502
1076.95, 70.3841
1076.96, 70.4344
1076.96, 70.4719
1076.96, 70.4912
1076.97, 70.6242
1076.97, 70.7505
1076.98, 70.8449
1076.98, 70.9025
1076.98, 70.8149
1076.99, 70.7233
1076.99, 70.6423
1077, 70.5787
1077, 70.5266
1077, 70.5514
1077.01, 70.5865
1077.01, 70.5875
1077.02, 70.5704
1077.02, 70.557
1077.02, 70.603
1077.03, 70.6499
1077.03, 70.7028
1077.04, 70.7418
1077.04, 70.6655
1077.04, 70.6099
1077.05, 70.5531
1077.05, 70.4841
1077.06, 70.4509
1077.06, 70.4187
1077.06, 70.4021
1077.07, 70.3955
1077.07, 70.3916
1077.08, 70.5015
1077.08, 70.5897
1077.08, 70.6291
1077.09, 70.6376
1077.09, 70.6356
1077.1, 70.5335
1077.1, 70.4636
1077.1, 70.4204
1077.11, 70.3703
1077.11, 70.3197
1077.12, 70.3106
1077.12, 70.2935
1077.12, 70.2882
1077.13, 70.2915
1077.13, 70.2965
1077.14, 70.3885
1077.14, 70.4315
1077.14, 70.4865
1077.15, 70.5642
1077.15, 70.5137
1077.16, 70.4627
1077.16, 70.3986
1077.16, 70.3211
1077.17, 70.2639
1077.17, 70.3015
1077.18, 70.2985
1077.18, 70.2701
1077.18, 70.2669
1077.19, 70.3069
1077.19, 70.4617
1077.2, 70.5617
1077.2, 70.627
1077.2, 70.6595
1077.21, 70.5796
1077.21, 70.5247
1077.22, 70.4778
1077.22, 70.4226
1077.22, 70.3861
1077.23, 70.3841
1077.23, 70.371
1077.24, 70.3564
1077.24, 70.3473
1077.24, 70.3415
1077.25, 70.3931
1077.25, 70.4484
1077.26, 70.5117
1077.26, 70.5386
1077.26, 70.4627
1077.27, 70.4124
1077.27, 70.3631
1077.28, 70.2961
1077.28, 70.2333
1077.28, 70.2331
1077.29, 70.2413
1077.29, 70.2419
1077.3, 70.2219
1077.3, 70.1841
1077.3, 70.2243
1077.31, 70.2893
1077.31, 70.3765
1077.32, 70.4662
1077.32, 70.5238
1077.32, 70.4363
1077.33, 70.3634
1077.33, 70.3353
1077.34, 70.3244
1077.34, 70.3596
1077.34, 70.3404
1077.35, 70.3187
1077.35, 70.3017
1077.36, 70.3591
1077.36, 70.4107
1077.36, 70.481
1077.37, 70.5514
1077.37, 70.6015
1077.38, 70.5182
1077.38, 70.4364
1077.38, 70.344
1077.39, 70.2685
1077.39, 70.1938
1077.4, 70.1739
1077.4, 70.1577
1077.4, 70.1661
1077.41, 70.2232
1077.41, 70.3056
1077.42, 70.4551
1077.42, 70.5537
1077.42, 70.6348
1077.43, 70.7039
1077.43, 70.6093
1077.44, 70.489
1077.44, 70.3788
1077.44, 70.3094
1077.45, 70.3159
1077.45, 70.3091
1077.46, 70.3006
1077.46, 70.288
1077.46, 70.2722
1077.47, 70.2779
1077.47, 70.2383
1077.48, 70.2025
1077.48, 70.1715
1077.48, 70.153
1077.49, 70.1394
1077.49, 70.1867
1077.5, 70.1908
1077.5, 70.2158
1077.5, 70.2789
1077.51, 70.4488
