sim_time, iris/rotor_3?world_angular_velocity/z
1077.42, -70.4813
1077.42, -70.5684
1077.43, -70.6759
1077.43, -70.6324
1077.44, -70.5884
1077.44, -70.5151
1077.44, -70.4187
1077.45, -70.3811
1077.45, -70.3528
1077.46, -70.3217
1077.46, -70.3013
1077.46, -70.2914
1077.47, -70.2863
1077.47, -70.2366
1077.48, -70.1793
1077.48, -70.1217
1077.48, -70.0839
1077.49, -70.0615
1077.49, -70.144
1077.5, -70.216
1077.5, -70.2838
1077.5, -70.3526
1077.51, -70.4959
1077.51, -70.6337
1077.52, -70.7474
1077.52, -70.8044
1077.52, -70.8294
1077.53, -70.7616
1077.53, -70.7115
1077.54, -70.6582
1077.54, -70.5777
1077.54, -70.5027
1077.55, -70.661
1077.55, -70.7705
1077.56, -70.7062
1077.56, -70.6597
1077.56, -70.6334
1077.57, -70.6067
1077.57, -70.6056
1077.58, -70.5872
1077.58, -70.5727
1077.58, -70.5796
1077.59, -70.5719
1077.59, -70.5576
1077.6, -70.6241
1077.6, -70.6573
1077.6, -70.6367
1077.61, -70.588
1077.61, -70.4589
1077.62, -70.3848
1077.62, -70.3427
1077.62, -70.321
1077.63, -70.3712
1077.63, -70.3789
1077.64, -70.3689
1077.64, -70.3634
1077.64, -70.344
1077.65, -70.3382
1077.65, -70.3216
1077.66, -70.3137
1077.66, -70.3267
1077.66, -70.35
1077.67, -70.2637
1077.67, -70.199
1077.68, -70.1292
1077.68, -70.048
1077.68, -69.9724
1077.69, -69.9582
1077.69, -69.9548
1077.7, -69.9715
1077.7, -70.0065
1077.7, -70.0848
1077.71, -70.2992
1077.71, -70.4831
1077.72, -70.5848
1077.72, -70.6002
1077.72, -70.588
1077.73, -70.4749
1077.73, -70.3889
1077.74, -70.3369
1077.74, -70.3403
1077.74, -70.3257
1077.75, -70.3101
1077.75, -70.2935
1077.76, -70.2793
1077.76, -70.3725
1077.76, -70.4525
1077.77, -70.5161
1077.77, -70.5577
1077.78, -70.561
1077.78, -70.5522
1077.78, -70.5504
1077.79, -70.5423
1077.79, -70.5179
1077.8, -70.529
1077.8, -70.5432
1077.8, -70.5841
1077.81, -70.6452
1077.81, -70.7024
1077.82, -70.7298
1077.82, -70.7746
1077.82, -70.7762
1077.83, -70.7814
1077.83, -70.6844
1077.84, -70.5915
1077.84, -70.5295
1077.84, -70.4912
1077.85, -70.4445
1077.85, -70.3908
