sim_time, iris/rotor_0?world_angular_velocity/z
1077.7, 65.3965
1077.71, 65.3492
1077.71, 65.2883
1077.72, 65.2349
1077.72, 65.2217
1077.72, 65.232
1077.73, 65.3225
1077.73, 65.3499
1077.74, 65.3367
1077.74, 65.2776
1077.74, 65.2327
1077.75, 65.2087
1077.75, 65.1979
1077.76, 65.2041
1077.76, 65.1806
1077.76, 65.1495
1077.77, 65.1167
1077.77, 65.0986
1077.78, 65.0947
1077.78, 65.1127
1077.78, 65.113
1077.79, 65.1101
1077.79, 65.1066
1077.8, 65.1025
1077.8, 65.1166
1077.8, 65.1108
1077.81, 65.1031
1077.81, 65.0909
1077.82, 65.0747
1077.82, 65.0609
1077.82, 65.0647
1077.83, 65.0637
1077.83, 65.1353
1077.84, 65.1983
1077.84, 65.2517
1077.84, 65.2816
1077.85, 65.3099
1077.85, 65.3463
1077.86, 65.3373
1077.86, 65.3253
1077.86, 65.3224
1077.87, 65.3458
1077.87, 65.3418
1077.88, 65.3244
1077.88, 65.281
1077.88, 65.2405
1077.89, 65.2079
1077.89, 65.2178
1077.9, 65.2379
1077.9, 65.2847
1077.9, 65.3512
1077.91, 65.3452
1077.91, 65.3359
1077.92, 65.304
1077.92, 65.2916
1077.92, 65.278
1077.93, 65.2631
1077.93, 65.2261
1077.94, 65.2038
1077.94, 65.2235
1077.94, 65.2531
1077.95, 65.3018
1077.95, 65.2875
1077.96, 65.2587
1077.96, 65.237
1077.96, 65.1897
1077.97, 65.1502
1077.97, 65.1331
1077.98, 65.1144
1077.98, 65.0877
1077.98, 65.0687
1077.99, 65.0362
1077.99, 64.989
1078, 64.9485
1078, 64.934
1078, 65.0435
1078.01, 65.1333
1078.01, 65.1799
1078.02, 65.19
1078.02, 65.1846
1078.02, 65.1805
1078.03, 65.1834
1078.03, 65.1891
1078.04, 65.2116
1078.04, 65.2233
1078.04, 65.2103
1078.05, 65.1881
1078.05, 65.1599
1078.06, 65.1245
1078.06, 65.1946
1078.06, 65.2603
1078.07, 65.3286
1078.07, 65.3679
1078.08, 65.4038
1078.08, 65.454
1078.08, 65.4591
1078.09, 65.4313
1078.09, 65.3761
1078.1, 65.3139
1078.1, 65.2682
1078.1, 65.2934
1078.11, 65.3106
1078.11, 65.3173
1078.12, 65.3142
1078.12, 65.3192
1078.12, 65.3003
1078.13, 65.2715
1078.13, 65.2539
1078.14, 65.2187
1078.14, 65.1648
1078.14, 65.1318
1078.15, 65.1107
1078.15, 65.1
1078.16, 65.196
1078.16, 65.2874
1078.16, 65.3561
1078.17, 65.3786
1078.17, 65.3554
1078.18, 65.3397
1078.18, 65.3215
1078.18, 65.3142
1078.19, 65.2983
1078.19, 65.2518
1078.2, 65.1859
1078.2, 65.1545
1078.2, 65.1375
1078.21, 65.1129
1078.21, 65.1358
1078.22, 65.176
1078.22, 65.2143
1078.22, 65.2441
1078.23, 65.2756
1078.23, 65.2571
1078.24, 65.2305
1078.24, 65.226
1078.24, 65.2532
1078.25, 65.2787
1078.25, 65.248
1078.26, 65.1963
1078.26, 65.127
1078.26, 65.0597
1078.27, 65.0327
1078.27, 65.0283
1078.28, 65.0634
1078.28, 65.1001
1078.28, 65.1255
1078.29, 65.1005
1078.29, 65.0905
1078.3, 65.0722
1078.3, 65.024
1078.3, 64.9467
1078.31, 64.9121
1078.31, 64.8897
1078.32, 64.8547
1078.32, 64.8065
1078.32, 64.8012
1078.33, 64.8162
1078.33, 64.8624
1078.34, 64.9377
1078.34, 64.9613
1078.34, 64.989
1078.35, 65.0245
1078.35, 65.0603
1078.36, 65.1072
1078.36, 65.1533
1078.36, 65.1192
1078.37, 65.0691
1078.37, 65.0046
1078.38, 64.9426
1078.38, 64.8991
1078.38, 64.9619
1078.39, 65.0634
1078.39, 65.1601
1078.4, 65.2435
1078.4, 65.2957
1078.4, 65.2628
1078.41, 65.2195
1078.41, 65.1909
1078.42, 65.1599
1078.42, 65.0908
1078.42, 65.0407
1078.43, 65.0137
1078.43, 64.9932
1078.44, 65.0338
1078.44, 65.0764
1078.44, 65.1229
1078.45, 65.1319
1078.45, 65.1244
1078.46, 65.1369
1078.46, 65.1297
1078.46, 65.1216
1078.47, 65.1292
1078.47, 65.1427
1078.48, 65.112
1078.48, 65.0671
1078.48, 65.0355
1078.49, 65.0615
1078.49, 65.0638
1078.5, 65.0294
1078.5, 64.9837
1078.5, 64.9505
1078.51, 64.9537
1078.51, 64.9717
1078.52, 64.9695
1078.52, 64.9808
1078.52, 65.0052
1078.53, 64.993
1078.53, 64.9855
1078.54, 64.9832
1078.54, 64.9903
1078.54, 64.9743
1078.55, 64.96
1078.55, 64.964
1078.56, 64.9557
1078.56, 65.0275
1078.56, 65.096
1078.57, 65.1741
1078.57, 65.2699
1078.58, 65.3631
1078.58, 65.4126
1078.58, 65.4605
1078.59, 65.4999
1078.59, 65.5061
1078.6, 65.4801
1078.6, 65.4589
1078.6, 65.4321
1078.61, 65.4271
1078.61, 65.4156
1078.62, 65.3641
1078.62, 65.3065
1078.62, 65.2665
1078.63, 65.2557
1078.63, 65.2578
1078.64, 65.2501
1078.64, 65.2122
1078.64, 65.1766
1078.65, 65.1522
1078.65, 65.1191
1078.66, 65.1308
1078.66, 65.1302
1078.66, 65.1491
1078.67, 65.1748
1078.67, 65.183
1078.68, 65.1705
1078.68, 65.1374
1078.68, 65.1128
1078.69, 65.1186
1078.69, 65.1519
1078.7, 65.1731
1078.7, 65.23
1078.7, 65.2557
1078.71, 65.2786
1078.71, 65.2754
1078.72, 65.2227
1078.72, 65.1534
1078.72, 65.0898
1078.73, 65.0492
1078.73, 65.0325
1078.74, 65.0104
1078.74, 64.9791
1078.74, 64.9411
1078.75, 64.9147
1078.75, 64.9995
1078.76, 65.0774
1078.76, 65.1333
1078.76, 65.1876
1078.77, 65.2335
1078.77, 65.2283
1078.78, 65.2556
1078.78, 65.2835
1078.78, 65.2788
1078.79, 65.2556
1078.79, 65.2338
1078.8, 65.2077
1078.8, 65.1801
1078.8, 65.1597
1078.81, 65.1572
1078.81, 65.0919
1078.82, 65.0329
1078.82, 65.0011
1078.82, 64.9819
1078.83, 64.9385
1078.83, 64.8499
1078.84, 64.7739
1078.84, 64.7235
1078.84, 64.6931
1078.85, 64.7584
1078.85, 64.8211
1078.86, 64.9107
1078.86, 65.0162
1078.86, 65.0719
1078.87, 65.1215
1078.87, 65.1385
1078.88, 65.1357
1078.88, 65.1514
1078.88, 65.1224
1078.89, 65.086
1078.89, 65.0835
1078.9, 65.1512
1078.9, 65.2007
1078.9, 65.1834
1078.91, 65.1664
1078.91, 65.1512
1078.92, 65.1599
1078.92, 65.2021
1078.92, 65.2085
1078.93, 65.2025
1078.93, 65.1893
1078.94, 65.1896
1078.94, 65.205
1078.94, 65.1939
1078.95, 65.1705
1078.95, 65.1384
1078.96, 65.108
1078.96, 65.1373
1078.96, 65.1514
1078.97, 65.1563
1078.97, 65.1612
1078.98, 65.1739
1078.98, 65.2021
1078.98, 65.2148
1078.99, 65.1972
1078.99, 65.157
1079, 65.0896
1079, 65.0436
1079, 65.0247
1079.01, 65.0202
1079.01, 65.0043
1079.02, 65.0627
1079.02, 65.1145
1079.02, 65.1986
1079.03, 65.2948
1079.03, 65.3363
1079.04, 65.3455
1079.04, 65.3636
1079.04, 65.3885
1079.05, 65.3852
1079.05, 65.3425
1079.06, 65.3129
1079.06, 65.2973
1079.06, 65.274
1079.07, 65.2411
1079.07, 65.27
1079.08, 65.2674
1079.08, 65.2439
1079.08, 65.2212
1079.09, 65.1996
1079.09, 65.2124
1079.1, 65.2456
1079.1, 65.2695
1079.1, 65.2676
1079.11, 65.2092
1079.11, 65.1316
1079.12, 65.0524
1079.12, 64.9939
1079.12, 64.9575
1079.13, 65.0192
1079.13, 65.086
1079.14, 65.1546
1079.14, 65.1707
1079.14, 65.1541
1079.15, 65.1366
1079.15, 65.1308
1079.16, 65.1397
1079.16, 65.1813
1079.16, 65.2359
1079.17, 65.2319
1079.17, 65.2189
1079.18, 65.2079
1079.18, 65.2802
1079.18, 65.3052
1079.19, 65.3044
1079.19, 65.285
1079.2, 65.2491
1079.2, 65.2
1079.2, 65.1679
1079.21, 65.1474
1079.21, 65.1352
1079.22, 65.1276
1079.22, 65.1108
1079.22, 65.0993
1079.23, 65.0726
1079.23, 65.0389
1079.24, 65.0005
1079.24, 65.0628
1079.24, 65.121
1079.25, 65.1431
1079.25, 65.1413
1079.26, 65.1086
1079.26, 65.0943
1079.26, 65.1029
1079.27, 65.1491
1079.27, 65.2028
1079.28, 65.2027
1079.28, 65.1387
1079.28, 65.0784
1079.29, 65.0467
1079.29, 65.0229
1079.3, 65.0404
1079.3, 65.0568
1079.3, 65.0946
