sim_time, iris/rotor_2?world_angular_velocity/z
1076.6, -65.5362
1076.61, -65.5787
1076.61, -65.5672
1076.62, -65.5408
1076.62, -65.4909
1076.62, -65.4252
1076.63, -65.3553
1076.63, -65.2825
1076.64, -65.2432
1076.64, -65.2252
1076.64, -65.2229
1076.65, -65.3403
1076.65, -65.4159
1076.66, -65.4973
1076.66, -65.5781
1076.66, -65.6216
1076.67, -65.613
1076.67, -65.5985
1076.68, -65.5733
1076.68, -65.5383
1076.68, -65.4912
1076.69, -65.4474
1076.69, -65.4055
1076.7, -65.3815
1076.7, -65.3602
1076.7, -65.3925
1076.71, -65.4114
1076.71, -65.4428
1076.72, -65.4898
1076.72, -65.4855
1076.72, -65.4695
1076.73, -65.4374
1076.73, -65.4164
1076.74, -65.4048
1076.74, -65.365
1076.74, -65.3363
1076.75, -65.3198
1076.75, -65.3066
1076.76, -65.2822
1076.76, -65.2822
1076.76, -65.2728
1076.77, -65.2728
1076.77, -65.2889
1076.78, -65.323
1076.78, -65.3162
1076.78, -65.3131
1076.79, -65.3008
1076.79, -65.2855
1076.8, -65.2484
1076.8, -65.212
1076.8, -65.1776
1076.81, -65.1346
1076.81, -65.0947
1076.82, -65.0887
1076.82, -65.2095
1076.82, -65.2902
1076.83, -65.3479
1076.83, -65.4038
1076.84, -65.4326
1076.84, -65.4586
1076.84, -65.4731
1076.85, -65.475
1076.85, -65.4576
1076.86, -65.4406
1076.86, -65.4278
1076.86, -65.4354
1076.87, -65.4329
1076.87, -65.5069
1076.88, -65.5561
1076.88, -65.5771
1076.88, -65.5834
1076.89, -65.598
1076.89, -65.6201
1076.9, -65.6444
1076.9, -65.6402
1076.9, -65.6261
1076.91, -65.616
1076.91, -65.5782
1076.92, -65.5468
1076.92, -65.5397
1076.92, -65.5581
1076.93, -65.6474
1076.93, -65.6688
1076.94, -65.6512
1076.94, -65.6336
1076.94, -65.6539
1076.95, -65.6673
1076.95, -65.6637
1076.96, -65.639
1076.96, -65.6165
1076.96, -65.5997
1076.97, -65.5516
1076.97, -65.4866
1076.98, -65.4311
1076.98, -65.4002
1076.98, -65.423
1076.99, -65.4645
1076.99, -65.5218
1077, -65.5338
1077, -65.523
1077, -65.486
1077.01, -65.4683
1077.01, -65.4648
1077.02, -65.4615
1077.02, -65.4575
1077.02, -65.4493
1077.03, -65.4426
1077.03, -65.4227
1077.04, -65.3945
1077.04, -65.4222
1077.04, -65.4724
1077.05, -65.5145
1077.05, -65.5434
1077.06, -65.5225
1077.06, -65.5117
1077.06, -65.5296
1077.07, -65.5564
1077.07, -65.5478
1077.08, -65.4953
1077.08, -65.4496
1077.08, -65.4152
1077.09, -65.4065
1077.09, -65.4423
1077.1, -65.5154
1077.1, -65.5138
1077.1, -65.4962
1077.11, -65.4769
1077.11, -65.4693
1077.12, -65.4482
1077.12, -65.4316
1077.12, -65.4119
1077.13, -65.4091
1077.13, -65.4306
1077.14, -65.4137
1077.14, -65.3847
1077.14, -65.355
1077.15, -65.3238
1077.15, -65.3883
1077.16, -65.4475
1077.16, -65.4809
1077.16, -65.5055
1077.17, -65.5344
1077.17, -65.5277
1077.18, -65.5484
1077.18, -65.592
1077.18, -65.594
1077.19, -65.5671
1077.19, -65.5076
1077.2, -65.4365
1077.2, -65.3729
1077.2, -65.3393
1077.21, -65.3841
1077.21, -65.4201
1077.22, -65.4394
1077.22, -65.4627
1077.22, -65.4802
1077.23, -65.4663
1077.23, -65.4608
1077.24, -65.4519
1077.24, -65.4312
1077.24, -65.4077
1077.25, -65.3619
1077.25, -65.3348
1077.26, -65.3284
1077.26, -65.3498
1077.26, -65.4228
1077.27, -65.4203
1077.27, -65.417
1077.28, -65.4141
1077.28, -65.4009
1077.28, -65.3721
1077.29, -65.3843
1077.29, -65.3956
1077.3, -65.4036
1077.3, -65.4429
1077.3, -65.4307
1077.31, -65.402
1077.31, -65.3494
1077.32, -65.284
1077.32, -65.2401
1077.32, -65.3298
1077.33, -65.4123
1077.33, -65.4275
1077.34, -65.4132
1077.34, -65.3794
1077.34, -65.3647
1077.35, -65.3724
1077.35, -65.3921
1077.36, -65.3807
1077.36, -65.3694
1077.36, -65.3551
1077.37, -65.3291
1077.37, -65.2964
1077.38, -65.3151
1077.38, -65.3422
1077.38, -65.3575
1077.39, -65.3551
1077.39, -65.3988
1077.4, -65.4338
1077.4, -65.4744
1077.4, -65.4841
1077.41, -65.4648
1077.41, -65.4328
1077.42, -65.3822
